,id,name,location,city,address,lat,lon
0,2064,am:pm משלוחים,סלומון 24,תל אביב,"סלומון 24, תל אביב",32.06139999072133,34.78018000478863
1,1629,אבא הלל,אבא הילל 25,רמת גן,"אבא הילל 25, רמת גן",32.086999999399765,34.80519998576733
2,5,אבן גבירול 14,אבן גבירול 14,תל אביב,"אבן גבירול 14, תל אביב",32.07273001879115,34.78199996742512
3,9,אבן גבירול 91,אבן גבירול 91,תל אביב,"אבן גבירול 91, תל אביב",32.084919988217266,34.78149998690071
4,20,"אבן גבירול, פינת ז'בוטינסקי",אבן גבירול 136,תל אביב,"אבן גבירול 136, תל אביב",32.08836000509949,34.78255996237627
5,6,אלנבי,אלנבי 115,תל אביב,"אלנבי 115, תל אביב",32.062549987837,34.77345998155579
6,2155,אלנבי 56,אלנבי 56,תל אביב,"אלנבי 56, תל אביב",32.0705099879161,34.76999004127924
7,1727,אלנבי 69,אלנבי 69,תל אביב,"אלנבי 69, תל אביב",32.06779001842615,34.77128001617794
8,2259,ארלוזורוב משלוחים,"ארלוזורוב 52, רמת-גן",רמת גן,"ארלוזורוב 52, רמת-גן, רמת גן",32.08168997991909,34.80995998476163
9,25,בוגרשוב,בוגרשוב 49,תל אביב,"בוגרשוב 49, תל אביב",32.076030015980834,34.77171998227561
10,2263,"בן גוריון 47, בת ים","בן גוריון 47, בת ים",בת ים,"בן גוריון 47, בת ים, בת ים",32.026109999057894,34.741329967389504
11,47,בן יהודה 30,בן יהודה 30,תל אביב,"בן יהודה 30, תל אביב",32.076059981284686,34.76823998371523
12,26,בן יהודה 61,בן יהודה 61,תל אביב,"בן יהודה 61, תל אביב",32.079480007327845,34.769310017474595
13,44,"בן יהודה, פינת נורדאו",בן יהודה 195,תל אביב,"בן יהודה 195, תל אביב",32.092150008348824,34.77444996813986
14,32,"ברודצקי, רמת אביב",ברודצקי 15,תל אביב,"ברודצקי 15, תל אביב",32.106679995593936,34.797370030916
15,30,בת ים,בן גוריון 119,בת-ים,"בן גוריון 119, בת-ים",32.01458999515259,34.7388400392322
16,23,"דיזינגוף, פינת ארלוזורוב",דיזינגוף 193,תל אביב,"דיזינגוף 193, תל אביב",32.086600014980235,34.7746699930982
17,35,"דיזינגוף, פינת גורדון",דיזנגוף 136,תל אביב,"דיזנגוף 136, תל אביב",32.08217001151395,34.77411997261183
18,2315,דניה מרקט,"אנטוורפן 58, חיפה",חיפה,"אנטוורפן 58, חיפה, חיפה",32.76671135520052,34.992975522471546
19,42,דרך נמיר,דרך נמיר 170,תל אביב,"דרך נמיר 170, תל אביב",32.08619173611502,34.76840301228954
20,31,הדר דפנה,שאול המלך 41,תל אביב,"שאול המלך 41, תל אביב",32.07795001663172,34.79085997435769
21,14,הוד השרון,סוקולוב 11,הוד השרון,"סוקולוב 11, הוד השרון",32.16244001973534,34.90206000157727
22,1628,החשמונאים,החשמונאים 105,תל אביב,"החשמונאים 105, תל אביב",32.06960000659787,34.78471000435982
23,7,החשמל,החשמל 11,תל אביב,"החשמל 11, תל אביב",32.06134999266888,34.77571999410898
24,2299,הקוממיות,"הקוממיות 16, בת ים",בת ים,"הקוממיות 16, בת ים, בת ים",32.00482712298076,34.74582011135391
25,27,"הרוא""ה","הרוא""ה 9",רמת גן,"הרוא""ה 9, רמת גן",32.08401000689902,34.81678000409937
26,1906,הרוגי המלכות,"הרוגי המלכות 9, רמת החייל",תל אביב,"הרוגי המלכות 9, רמת החייל, תל אביב",32.10978000057385,34.83299999257224
27,2264,הרצל,"הרצל 114, ת""א",תל אביב,"הרצל 114, ת""א, תל אביב",32.054869985233466,34.77073997015634
28,37,הרצל,הרצל 91,תל אביב,"הרצל 91, תל אביב",32.05535001682833,34.77099000232806
29,2086,הרצל 61,הרצל 61,תל אביב,"הרצל 61, תל אביב",32.05791999216095,34.77098002786329
30,2046,הרצליה משלוחים,משה הס,הרצליה,"משה הס, הרצליה",32.151808513102644,34.846930799694775
31,16,הרצליה פיתוח,יצחק בן צבי 75,הרצליה פיתוח,"יצחק בן צבי 75, הרצליה פיתוח",32.18038001664932,34.81140997019196
32,10,"ויינשל, נאות אפקה",ויינשל 6,תל אביב,"ויינשל 6, תל אביב",32.1179700000761,34.82430997063605
33,29,"ז'בוטינסקי 86, ר""ג",דרך זאב ז'בוטינסקי 86,רמת גן,"דרך זאב ז'בוטינסקי 86, רמת גן",32.08790998071801,34.81441002097651
34,24,"ז'בוטנסקי 44, ר""ג",דרך זאב ז'בוטינסקי 44,רמת גן,"דרך זאב ז'בוטינסקי 44, רמת גן",32.08439000047947,34.809759992551875
35,2368,חיפה,העצמאות 61 חיפה,חיפה,"העצמאות 61 חיפה, חיפה",32.820669996003005,34.99770003138002
36,36,י.ל.פרץ,י.ל פרץ 29,תל אביב,"י.ל פרץ 29, תל אביב",32.05932999591312,34.77594999353212
37,2090,יהודה הלוי 114,יהודה הלוי 114,תל אביב,"יהודה הלוי 114, תל אביב",32.07084999981842,34.78199996742512
38,2091,יהודה הלוי 114,יהודה הלוי 114,תל אביב,"יהודה הלוי 114, תל אביב",32.07084999981842,34.78199996742512
39,18,"יצחק שדה, פינת טברסקי",יצחק שדה 35,תל אביב,"יצחק שדה 35, תל אביב",32.06507998149148,34.78852997291298
40,2366,כלבו שלום,אחד העם 9,תל אביב,"אחד העם 9, תל אביב",32.0637599993794,34.76958997304067
41,3,כצנלסון,כצנלסון 129,גבעתיים,"כצנלסון 129, גבעתיים",32.07669000703687,34.81590996254977
42,41,לינקולן,לינקולן 9,תל אביב,"לינקולן 9, תל אביב",32.06702001489094,34.781820007963944
43,45,נווה מונוסון,השקד 30,נווה מונוסון,"השקד 30, נווה מונוסון",32.02816587696886,34.87466022990025
44,46,נחלת בינימין,נחלת בנימין 85,תל אביב,"נחלת בנימין 85, תל אביב",32.06106002072853,34.772699994394884
45,11,נחלת יצחק,נחלת יצחק 8,תל אביב,"נחלת יצחק 8, תל אביב",32.074939991382394,34.7966699743628
46,34,נס ציונה,השייטת 4,נס ציונה,"השייטת 4, נס ציונה",31.930650012535352,34.791990022543814
47,28,"סוקולוב, הרצליה",סוקולוב 10,הרצליה,"סוקולוב 10, הרצליה",32.1668900140407,34.84001002965496
48,2168,סניף הקסטל,אבן גבירול 161,תל אביב,"אבן גבירול 161, תל אביב",32.09208999392209,34.78290999065288
49,48,"עליית הנוער, גבעתיים",עליית הנוער 27,גבעתיים,"עליית הנוער 27, גבעתיים",32.07462669045494,34.80141062614129
50,40,"פינסקר, פינת אלנבי",פינסקר 2,תל אביב,"פינסקר 2, תל אביב",32.07290000378755,34.769040036373326
51,13,פלורנטין,ידידיה פרנקל 15,תל אביב,"ידידיה פרנקל 15, תל אביב",32.05722999389154,34.76826001646381
52,1717,קהילת סלוניקי,קהילת סלוניקי 11,תל אביב,"קהילת סלוניקי 11, תל אביב",32.1132100010818,34.82449998838106
53,15,קינג ג'ורג',קינג ג'ורג' 24,תל אביב,"קינג ג'ורג' 24, תל אביב",32.07186001915106,34.773540028731134
54,8,"קינג ג'ורג', פינת זמנהוף",קינג ג'ורג' 99,תל אביב,"קינג ג'ורג' 99, תל אביב",32.07748000141116,34.77766996006372
55,33,רוטשילד 97,שנקין 59,תל אביב,"שנקין 59, תל אביב",32.09022746943639,34.78930729435856
56,2277,רוטשילד 97,"רוטשילד 97(פינת שנקין 66), ת""א",תל אביב,"רוטשילד 97(פינת שנקין 66), ת""א, תל אביב",32.06810999757988,34.77778001445242
57,19,רמת החייל,הרוגי המלכות 9,תל אביב,"הרוגי המלכות 9, תל אביב",32.10978000057385,34.83299999257224
58,43,שדרות יהודית,שד' יהודית 16,תל אביב,"שד' יהודית 16, תל אביב",32.06996000933924,34.790080038267234
59,17,"שדרות ירושלים, יפו",שד' ירושלים 11,יפו,"שד' ירושלים 11, יפו",32.05573001040878,34.75985003391273
60,21,שנקין 24,שנקין 24,תל אביב,"שנקין 24, תל אביב",32.0902183943956,34.789442125168
